Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-728 (Product Catalog Management - Search Products),Chrome 99.0.4844.84,Product Catalog Management: Search Products,,2022-03-30 17:43:07,2022-03-30 17:44:39,1m - 32.321s,FAILED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1828-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 17:43:08,2022-03-30 17:43:26,17.725s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 17:43:09,2022-03-30 17:43:15,6.172s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 17:43:15,2022-03-30 17:43:17,2.068s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 17:43:17,2022-03-30 17:43:17,0.385s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 17:43:17,2022-03-30 17:43:21,3.071s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 17:43:21,2022-03-30 17:43:22,1.118s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:43:22,2022-03-30 17:43:23,1.013s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 17:43:23,2022-03-30 17:43:24,0.847s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:43:24,2022-03-30 17:43:25,1.020s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 17:43:25,2022-03-30 17:43:26,1.102s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1829-S7 (Click Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 17:43:26,2022-03-30 17:43:44,17.676s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 17:43:26,2022-03-30 17:43:41,15.219s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:43:41,2022-03-30 17:43:43,2.012s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1830-S7 (User should be able to fill search bar),Chrome 99.0.4844.84,User should be able to fill search bar,,2022-03-30 17:43:44,2022-03-30 17:43:50,6.322s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), ""Automation Test Product"")",Chrome 99.0.4844.84,,,2022-03-30 17:43:44,2022-03-30 17:43:48,3.678s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:43:48,2022-03-30 17:43:50,2.011s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1831-S7 (User should be able to Search product on the Search button),Chrome 99.0.4844.84,User should be able to Search product on the  Search button,,2022-03-30 17:43:50,2022-03-30 17:43:53,2.988s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/Search Button""))",Chrome 99.0.4844.84,,,2022-03-30 17:43:50,2022-03-30 17:43:51,0.524s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:43:51,2022-03-30 17:43:53,2.016s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1832-S7 (User should be able to Search product using Enter button),Chrome 99.0.4844.84,User should be able to Search product using Enter button,,2022-03-30 17:43:53,2022-03-30 17:43:59,6.144s,PASSED
"clearText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""))",Chrome 99.0.4844.84,,,2022-03-30 17:43:53,2022-03-30 17:43:54,0.417s,PASSED
