Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-729 (Product Catalog Management- Product Catalog - Listing),Chrome 99.0.4844.84,Product Catalog Management: Product Catalog / Listing,,2022-03-30 17:54:20,2022-03-30 17:55:50,1m - 30.073s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1803-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 17:54:20,2022-03-30 17:54:37,17.012s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 17:54:21,2022-03-30 17:54:26,4.476s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 17:54:26,2022-03-30 17:54:29,3.185s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 17:54:29,2022-03-30 17:54:29,0.726s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 17:54:29,2022-03-30 17:54:33,3.063s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 17:54:33,2022-03-30 17:54:34,1.278s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:54:34,2022-03-30 17:54:35,1.008s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 17:54:35,2022-03-30 17:54:36,0.868s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:54:36,2022-03-30 17:54:37,1.013s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 17:54:37,2022-03-30 17:54:37,0.467s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1804-S7 (Click Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 17:54:37,2022-03-30 17:55:16,38.485s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 17:54:38,2022-03-30 17:55:14,35.850s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:14,2022-03-30 17:55:16,2.014s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1805-S7 (User should be able to see complete information of Product catalog),Chrome 99.0.4844.84,User should be able to see complete information of Product catalog,,2022-03-30 17:55:16,2022-03-30 17:55:18,2.559s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:16,2022-03-30 17:55:18,2.008s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1806-S7 (User should be able to click View-Edit Product information),Chrome 99.0.4844.84,User should be able to click View/Edit Product information,,2022-03-30 17:55:18,2022-03-30 17:55:25,6.900s,PASSED
refresh(),Chrome 99.0.4844.84,,,2022-03-30 17:55:19,2022-03-30 17:55:19,0.595s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Edit Product/Product 1_Edit""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:19,2022-03-30 17:55:22,2.289s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:55:22,2022-03-30 17:55:23,1.017s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Edit Product/Close(x)_Edit""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:23,2022-03-30 17:55:23,0.507s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:23,2022-03-30 17:55:25,2.009s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1807-S7 (User should be able to user pagination widget arrow),Chrome 99.0.4844.84,User should be able to user pagination widget arrow,,2022-03-30 17:55:25,2022-03-30 17:55:29,3.417s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Pagination/pagination-Next""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:26,2022-03-30 17:55:26,0.457s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:55:26,2022-03-30 17:55:27,1.010s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Pagination/pagination-Previous""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:27,2022-03-30 17:55:28,0.411s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:55:28,2022-03-30 17:55:29,1.005s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1808-S7 (User should be able to user pagination widget number),Chrome 99.0.4844.84,User should be able to user pagination widget number,,2022-03-30 17:55:29,2022-03-30 17:55:33,4.425s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Pagination/button_2(Pagination)""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:29,2022-03-30 17:55:30,0.480s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:30,2022-03-30 17:55:32,2.015s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Pagination/button_1(Pagination)""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:32,2022-03-30 17:55:32,0.434s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:55:32,2022-03-30 17:55:33,1.005s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1809-S7 (User should be eble to click Export button),Chrome 99.0.4844.84,User should be eble to click Export button,,2022-03-30 17:55:33,2022-03-30 17:55:36,2.942s,PASSED
