Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-731 (Product Catalog Management- View - Edit Product),Chrome 99.0.4844.84,Product Catalog Management: View / Edit Product,,2022-03-30 19:14:52,2022-03-30 19:17:30,2m - 37.912s,FAILED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 731/FCSCMS-1916-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 19:14:53,2022-03-30 19:15:11,18.309s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 19:14:54,2022-03-30 19:15:01,6.828s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 19:15:01,2022-03-30 19:15:03,2.147s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 19:15:03,2022-03-30 19:15:03,0.227s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 19:15:03,2022-03-30 19:15:06,3.090s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 19:15:06,2022-03-30 19:15:08,1.328s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 19:15:08,2022-03-30 19:15:09,1.019s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 19:15:09,2022-03-30 19:15:10,0.800s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 19:15:10,2022-03-30 19:15:11,1.008s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 19:15:11,2022-03-30 19:15:11,0.469s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 731/FCSCMS-1917-S7 (User should be able to clicks Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 19:15:11,2022-03-30 19:15:25,13.973s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 19:15:12,2022-03-30 19:15:19,7.737s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 19:15:19,2022-03-30 19:15:21,2.006s,PASSED
