Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-10 (User, Role and Access Management User Login - Login Page)",Chrome 100.0.4896.75,,,2022-04-05 23:54:21,2022-04-05 23:55:25,1m - 4.206s,FAILED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-217,Chrome 100.0.4896.75,User should be able to fill username field,217,2022-04-05 23:54:21,2022-04-05 23:54:36,15.016s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-05 23:54:22,2022-04-05 23:54:27,4.673s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.75,,,2022-04-05 23:54:27,2022-04-05 23:54:31,4.015s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-05 23:54:31,2022-04-05 23:54:31,0.249s,PASSED
delay(3),Chrome 100.0.4896.75,,,2022-04-05 23:54:31,2022-04-05 23:54:34,3.110s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""anonymous"")",Chrome 100.0.4896.75,,,2022-04-05 23:54:34,2022-04-05 23:54:36,2.098s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-218,Chrome 100.0.4896.75,User should be able to fill password field,218,2022-04-05 23:54:37,2022-04-05 23:54:40,3.618s,PASSED
delay(1),Chrome 100.0.4896.75,,,2022-04-05 23:54:38,2022-04-05 23:54:39,1.019s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""anon"")",Chrome 100.0.4896.75,,,2022-04-05 23:54:39,2022-04-05 23:54:40,0.893s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-219,Chrome 100.0.4896.75,Password should be masked,219,2022-04-05 23:54:40,2022-04-05 23:54:43,2.960s,PASSED
